# 永不失联的爱（简谱版）
# 来源：用户提供的清晰数字简谱；1=降B，4/4
# 单页精简演奏路线，共 51 小节
# 推荐一拍时间：706 ms
p 0.5
g 0.5
q 0.5
w 0.5
e 0.5
w 0.5
q 0.5
j 0.5
h 0.5
w 0.5
w 3
p 1
j 0.5
q 0.5
w 0.5
q 0.5
j 0.5
g 0.5
d 0.5
q 0.5
q 3
p 0.5
g 0.5
q 0.5
w 0.5
e 0.5
w 0.5
q 0.5
j 0.5
h 0.5
w 0.5
w 2
p 0.5
q 0.5
q 2
w 1.5
q 0.5
w 1.5
e 0.5
q 2
g 0.5
q 0.5
w 0.5
e 0.5
w 0.5
w 0.5
q 0.5
j 0.5
h 0.5
w 0.5
w 3
p 0.5
w 0.5
j 0.5
q 0.5
w 0.5
q 0.5
j 0.5
g 0.5
d 0.5
q 0.5
q 3
p 0.5
g 0.5
q 0.5
w 0.5
e 0.5
w 0.5
q 0.5
j 0.5
h 0.5
w 0.5
w 3
p 0.5
q 0.5
w 0.5
q 0.5
w 0.5
q 0.5
w 0.5
q 0.5
w 0.5
t 0.5
t 3
p 0.5
e 0.5
e 0.5
r 0.5
t 0.5
r 0.5
e 0.5
q 0.5
h 0.5
r 0.5
r 3
p 0.5
w 0.5
w 0.5
e 0.5
r 0.5
e 0.5
q 0.5
h 0.5
g 0.5
e 0.5
e 1
p 0.5
w 0.5
w 0.5
q 0.5
p 0.5
q 0.5
q 0.5
w 0.5
e 0.5
w 0.5
q 0.5
j 0.5
h 0.5
w 0.5
w 3
p 0.5
t 0.5
q 0.5
w 0.5
w 0.5
q 0.5
w 0.5
e 0.5
w 0.25
q 0.25
q 0.5
q 3
p 1
p 0.5
q 0.5
w 0.5
q 0.5
q 1
e 0.5
y 0.5
y 0.5
e 0.5
e 0.5
y 0.5
y 0.5
e 0.5
e 0.5
u 0.5
u 1
p 1
q 0.5
u 0.5
p 0.5
q 0.5
q 0.5
w 0.5
e 0.5
w 0.5
q 0.5
j 0.5
h 0.5
w 0.5
w 3
p 0.5
t 0.5
u 0.5
q 0.5
w 0.5
q 0.5
w 0.5
e 0.5
w 0.25
q 0.25
q 0.5
q 3
p 1
p 0.5
q 0.5
w 0.5
q 0.5
q 1
e 0.5
y 0.5
y 0.5
e 0.5
e 0.5
y 0.5
y 0.5
e 0.5
e 0.5
u 0.5
u 1
p 1
q 0.5
u 0.5
u 0.5
y 0.5
y 0.5
t 0.5
t 0.5
w 0.25
e 0.25
e 0.5
y 0.5
e 0.25
w 0.25
q 0.5
q 1
h 0.5
h 0.5
t 0.5
r 0.5
r 2
t 0.5
t 0.5
e 0.5
w 0.5
w 1
p 0.5
q 0.5
w 0.5
q 0.5
q 0.5
w 0.5
w 1
q 0.5
w 0.5
w 1
r 0.5
e 0.5
e 1
p 0.5
q 0.5
w 0.5
q 0.5
q 1
e 0.5
y 0.5
y 0.5
e 0.5
e 0.5
y 0.5
y 0.5
e 0.5
e 0.5
u 0.5
u 1
p 1
q 0.5
u 0.5
u 0.5
y 0.5
y 0.5
t 0.5
t 0.5
w 0.25
e 0.25
e 0.5
y 0.5
e 0.25
w 0.25
q 0.5
q 1
h 0.5
h 0.5
t 0.5
r 0.5
r 2
t 0.5
t 0.5
e 0.5
w 0.5
w 1
p 0.5
e 0.5
q 1
j 0.5
w 0.5
q 3
p 1
p 1
p 1
p 1
e 0.5
e 0.5
e 2
p 1
q 0.5
w 0.5
w 2
p 1
p 1
p 0.5
y 0.5
t 1.5
w 0.25
e 0.25
w 0.25
q 0.25
q 0.5
